# stno,yyyymmddhh,PS01,PS02,TX01,TX04,TX05,RH01,RH02,WD01,WD02,WD03,WD04,WD05,WD06,PP01,PP02,SS01,SS02,VS01,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,CD11,TS01,TS02,TS03,TS04,TS05,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10,ST11,ST12
466920,2015020301,1021.3,1025,16.9,-9999,14.1,-9999,-9999,2.8,80,3.8,70,6.6,90,0,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015020302,1021.2,1024.9,16.9,-9999,14,-9999,-9999,2.9,80,3.9,80,7.3,80,0,0,-9999,0,13,-9999,-9999,0.6,-9999,-9999,9,-9997,-9997,4,0.6,9,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015020303,1021.4,1025.1,16.9,-9999,14.3,-9999,-9999,1.6,100,3,80,5.6,70,0,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015020304,1021.2,1024.9,17,-9999,14.2,-9999,-9999,1.5,110,2.7,100,5.5,110,-9998,0.7,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
466920,2015020305,1021.5,1025.2,16.9,-9999,13.9,-9999,-9999,1.4,160,1.7,100,3,100,-9998,1,-9999,0,10,-9999,-9999,0.6,-9999,-9999,10,-9997,-9997,7,0.6,10,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999
466920,2015020306,1022.1,1025.8,16.3,-9999,14.3,-9999,-9999,1,220,1.4,160,2.5,190,1.5,1,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999
466920,2015020307,1022.3,1026,16.1,-9999,14.4,-9999,-9999,0.1,0,1,220,2.5,10,1,1,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999
466920,2015020308,1022.4,1026.1,16.4,-9999,14.6,-9999,-9999,0.8,210,1.1,210,2,210,0.5,0.8,0,0,4,-9999,-9999,0.2,-9999,-9999,10,-9997,-9997,7,0.2,10,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999
466920,2015020309,1022.7,1026.4,16.8,-9999,15,-9999,-9999,1.3,160,1.4,160,2.1,170,-9998,0.8,0,0.19,4,-9999,-9999,0.6,-9999,-9999,10,-9997,-9997,7,0.6,10,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999
466920,2015020310,1022.5,1026.2,17.2,-9999,15.4,-9999,-9999,1.4,120,1.7,120,3.1,100,-9998,1,0,0.41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999
