"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1010.6","1014.0","18.3","16.3","88","1.6","360","3.6","340","0.0","0.0","...","0.00","...","0","..."
"02","1011.3","1014.7","18.3","15.9","86","1.6","350","4.6","360","1.5","0.8","...","0.00","...","0","..."
"03","1010.5","1013.9","18.3","16.4","89","1.1","60","5.2","50","5.0","1.0","...","0.00","...","0","..."
"04","1010.1","1013.5","18.4","16.5","89","2.5","10","3.9","340","0.5","0.7","...","0.00","...","0","..."
"05","1010.2","1013.6","18.7","16.8","89","2.6","20","5.4","360","0.0","0.0","...","0.00","4.0","0","7.0"
"06","1010.4","1013.8","19.0","17.0","88","2.2","40","4.9","10","0.0","0.0","0.0","0.00","...","0","..."
"07","1010.6","1014.0","19.5","17.3","87","1.6","60","5.1","30","0.0","0.0","0.0","0.00","...","0","..."
"08","1010.5","1013.9","20.4","18.0","86","2.2","70","3.4","90","0.0","0.0","0.0","0.31","20.0","0","6.0"
"09","1010.5","1013.8","25.2","19.0","69","3.1","30","5.3","40","0.0","0.0","1.0","1.20","20.0","2","5.0"
"10","1010.5","1013.8","27.5","19.1","60","2.0","10","5.8","20","0.0","0.0","1.0","1.91","...","5","7.0"
"11","1009.9","1013.2","28.5","19.7","59","1.6","40","4.2","330","0.0","0.0","1.0","2.27","20.0","7","5.0"
"12","1009.4","1012.7","29.3","20.1","58","1.9","310","5.1","280","0.0","0.0","0.9","2.70","...","9","2.0"
"13","1008.9","1012.2","30.3","18.7","50","2.5","310","6.8","330","0.0","0.0","1.0","2.95","...","10","2.0"
"14","1008.8","1012.1","26.5","20.1","68","3.4","350","8.8","350","0.0","0.0","0.9","2.38","12.0","8","3.0"
"15","1008.3","1011.6","26.1","19.3","66","3.3","350","7.9","360","0.0","0.0","0.9","2.00","...","5","7.0"
"16","1009.0","1012.3","23.8","17.7","69","2.6","340","9.9","330","0.0","0.0","0.4","1.08","...","2","9.0"
"17","1009.4","1012.7","22.7","17.4","72","2.8","350","8.2","340","0.0","0.0","0.0","0.31","12.0","0","10.0"
"18","1010.5","1013.9","22.2","16.4","70","2.7","350","8.6","350","0.0","0.0","0.0","0.00","...","0","..."
"19","1011.3","1014.7","21.8","16.0","70","3.2","350","6.8","360","0.0","0.0","0.0","0.00","...","0","..."
"20","1012.4","1015.8","20.2","15.9","76","4.0","10","9.6","20","0.2","0.5","...","0.00","15.0","0","10.0"
"21","1012.0","1015.4","19.8","16.2","80","3.5","20","6.5","20","0.0","0.0","...","0.00","12.0","0","8.0"
"22","1012.0","1015.4","19.4","16.2","82","3.2","20","5.7","10","0.0","0.0","...","0.00","...","0","..."
"23","1012.0","1015.4","19.1","16.2","83","2.4","50","5.2","40","0.1","0.5","...","0.00","...","0","..."
"24","1012.2","1015.6","19.2","16.8","86","2.2","360","4.5","10","0.0","0.0","...","0.00","...","0","..."
